CHAMP;ANNEE_1968_2019;MOIS2;JOUR;DECES
FE;1969;07;12;
FE;1969;07;13;
FE;1969;07;14;
FE;1969;07;15;
FE;1969;07;16;
FE;1969;07;17;
FE;1969;07;18;
FE;1969;07;19;
FE;1969;07;20;
FE;1969;07;21;
FE;1969;07;22;
FE;1969;07;23;
FE;1969;07;24;
FE;1969;07;25;
FE;1969;07;26;
FE;1969;07;27;
FE;1969;07;28;
FE;1969;07;29;
FE;1969;07;30;
FE;1969;07;31;
FE;1969;07;MM;
FE;1969;08;01;
FE;1969;08;02;
FE;1969;08;03;
FE;1969;08;04;
FE;1969;08;05;
FE;1969;08;06;
FE;1969;08;07;
FE;1969;08;08;
FE;1969;08;09;
FE;1969;08;10;
FE;1969;08;11;
FE;1969;08;12;
FE;1969;08;13;
FE;1969;08;14;
FE;1969;08;15;
FE;1969;08;16;
FE;1969;08;17;
FE;1969;08;18;
FE;1969;08;19;
FE;1969;08;20;
FE;1969;08;21;
FE;1969;08;22;
FE;1969;08;23;
FE;1969;08;24;
FE;1969;08;25;
FE;1969;08;26;
FE;1969;08;27;
FE;1969;08;28;
FE;1969;08;29;
FE;1969;08;30;
FE;1969;08;31;
FE;1969;08;MM;
FE;1969;09;01;
FE;1969;09;02;
FE;1969;09;03;
FE;1969;09;04;
FE;1969;09;05;
FE;1969;09;06;
FE;1969;09;07;
FE;1969;09;08;
FE;1969;09;09;
FE;1969;09;10;
FE;1969;09;11;
FE;1969;09;12;
FE;1969;09;13;
FE;1969;09;14;
FE;1969;09;15;
FE;1969;09;16;
FE;1969;09;17;
FE;1969;09;18;
FE;1969;09;19;
FE;1969;09;20;
FE;1969;09;21;
FE;1969;09;22;
FE;1969;09;23;
FE;1969;09;24;
FE;1969;09;25;
FE;1969;09;26;
FE;1969;09;27;
FE;1969;09;28;
FE;1969;09;29;
FE;1969;09;30;
FE;1969;09;31;
FE;1969;09;MM;
FE;1969;10;01;
FE;1969;10;02;
FE;1969;10;03;
FE;1969;10;04;
FE;1969;10;05;
FE;1969;10;06;
FE;1969;10;07;
FE;1969;10;08;
FE;1969;10;09;
FE;1969;10;10;
FE;1969;10;11;
FE;1969;10;12;
FE;1969;10;13;
FE;1969;10;14;
FE;1969;10;15;
FE;1969;10;16;
FE;1969;10;17;
FE;1969;10;18;
FE;1969;10;19;
FE;1969;10;20;
FE;1969;10;21;
FE;1969;10;22;
FE;1969;10;23;
FE;1969;10;24;
FE;1969;10;25;
FE;1969;10;26;
FE;1969;10;27;
FE;1969;10;28;
FE;1969;10;29;
FE;1969;10;30;
FE;1969;10;31;
FE;1969;10;MM;
FE;1969;11;01;
FE;1969;11;02;
FE;1969;11;03;
FE;1969;11;04;
FE;1969;11;05;
FE;1969;11;06;
FE;1969;11;07;
FE;1969;11;08;
FE;1969;11;09;
FE;1969;11;10;
FE;1969;11;11;
FE;1969;11;12;
FE;1969;11;13;
FE;1969;11;14;
FE;1969;11;15;
FE;1969;11;16;
FE;1969;11;17;
FE;1969;11;18;
FE;1969;11;19;
FE;1969;11;20;
FE;1969;11;21;
FE;1969;11;22;
FE;1969;11;23;
FE;1969;11;24;
FE;1969;11;25;
FE;1969;11;26;
FE;1969;11;27;
FE;1969;11;28;
FE;1969;11;29;
FE;1969;11;30;
FE;1969;11;31;
FE;1969;11;MM;
FE;1969;12;01;
FE;1969;12;02;
FE;1969;12;03;
FE;1969;12;04;
FE;1969;12;05;
FE;1969;12;06;
FE;1969;12;07;
FE;1969;12;08;
FE;1969;12;09;
FE;1969;12;10;
FE;1969;12;11;
FE;1969;12;12;
FE;1969;12;13;
FE;1969;12;14;
FE;1969;12;15;
FE;1969;12;16;
FE;1969;12;17;
FE;1969;12;18;
FE;1969;12;19;
FE;1969;12;20;
FE;1969;12;21;
FE;1969;12;22;
FE;1969;12;23;
FE;1969;12;24;
FE;1969;12;25;
FE;1969;12;26;
FE;1969;12;27;
FE;1969;12;28;
FE;1969;12;29;
FE;1969;12;30;
FE;1969;12;31;
FE;1969;12;MM;
FE;1970;01;01;
FE;1970;01;02;
FE;1970;01;03;
FE;1970;01;04;
FE;1970;01;05;
FE;1970;01;06;
FE;1970;01;07;
FE;1970;01;08;
FE;1970;01;09;
FE;1970;01;10;
FE;1970;01;11;
FE;1970;01;12;
FE;1970;01;13;
FE;1970;01;14;
FE;1970;01;15;
FE;1970;01;16;
FE;1970;01;17;
FE;1970;01;18;
FE;1970;01;19;
FE;1970;01;20;
FE;1970;01;21;
FE;1970;01;22;
FE;1970;01;23;
FE;1970;01;24;
FE;1970;01;25;
FE;1970;01;26;
FE;1970;01;27;
FE;1970;01;28;
FE;1970;01;29;
FE;1970;01;30;
FE;1970;01;31;
FE;1970;01;MM;
FE;1970;02;01;
FE;1970;02;02;
FE;1970;02;03;
FE;1970;02;04;
FE;1970;02;05;
FE;1970;02;06;
FE;1970;02;07;
FE;1970;02;08;
FE;1970;02;09;
FE;1970;02;10;
FE;1970;02;11;
FE;1970;02;12;
FE;1970;02;13;
FE;1970;02;14;
FE;1970;02;15;
FE;1970;02;16;
FE;1970;02;17;
FE;1970;02;18;
FE;1970;02;19;
FE;1970;02;20;
FE;1970;02;21;
FE;1970;02;22;
FE;1970;02;23;
FE;1970;02;24;
FE;1970;02;25;
FE;1970;02;26;
FE;1970;02;27;
FE;1970;02;28;
FE;1970;02;29;
FE;1970;02;30;
FE;1970;02;31;
FE;1970;02;MM;
FE;1970;03;01;
FE;1970;03;02;
FE;1970;03;03;
FE;1970;03;04;
FE;1970;03;05;
FE;1970;03;06;
FE;1970;03;07;
FE;1970;03;08;
FE;1970;03;09;
FE;1970;03;10;
FE;1970;03;11;
FE;1970;03;12;
FE;1970;03;13;
FE;1970;03;14;
FE;1970;03;15;
FE;1970;03;16;
FE;1970;03;17;
FE;1970;03;18;
FE;1970;03;19;
FE;1970;03;20;
FE;1970;03;21;
FE;1970;03;22;
FE;1970;03;23;
FE;1970;03;24;
FE;1970;03;25;
FE;1970;03;26;
FE;1970;03;27;
FE;1970;03;28;
FE;1970;03;29;
FE;1970;03;30;
FE;1970;03;31;
FE;1970;03;MM;
FE;1970;04;01;
FE;1970;04;02;
FE;1970;04;03;
FE;1970;04;04;
FE;1970;04;05;
FE;1970;04;06;
FE;1970;04;07;
FE;1970;04;08;
FE;1970;04;09;
FE;1970;04;10;
FE;1970;04;11;
FE;1970;04;12;
FE;1970;04;13;
FE;1970;04;14;
FE;1970;04;15;
FE;1970;04;16;
FE;1970;04;17;
FE;1970;04;18;
FE;1970;04;19;
FE;1970;04;20;
FE;1970;04;21;
FE;1970;04;22;
FE;1970;04;23;
FE;1970;04;24;
FE;1970;04;25;
FE;1970;04;26;
FE;1970;04;27;
FE;1970;04;28;
FE;1970;04;29;
FE;1970;04;30;
FE;1970;04;31;
FE;1970;04;MM;
FE;1970;05;01;
FE;1970;05;02;
FE;1970;05;03;
FE;1970;05;04;
FE;1970;05;05;
FE;1970;05;06;
FE;1970;05;07;
FE;1970;05;08;
FE;1970;05;09;
FE;1970;05;10;
FE;1970;05;11;
FE;1970;05;12;
FE;1970;05;13;
FE;1970;05;14;
FE;1970;05;15;
FE;1970;05;16;
FE;1970;05;17;
FE;1970;05;18;
FE;1970;05;19;
FE;1970;05;20;
FE;1970;05;21;
FE;1970;05;22;
FE;1970;05;23;
FE;1970;05;24;
FE;1970;05;25;
FE;1970;05;26;
FE;1970;05;27;
FE;1970;05;28;
FE;1970;05;29;
FE;1970;05;30;
FE;1970;05;31;
FE;1970;05;MM;
FE;1970;06;01;
FE;1970;06;02;
FE;1970;06;03;
FE;1970;06;04;
FE;1970;06;05;
FE;1970;06;06;
FE;1970;06;07;
FE;1970;06;08;
FE;1970;06;09;
FE;1970;06;10;
FE;1970;06;11;
FE;1970;06;12;
FE;1970;06;13;
FE;1970;06;14;
FE;1970;06;15;
FE;1970;06;16;
FE;1970;06;17;
FE;1970;06;18;
FE;1970;06;19;
FE;1970;06;20;
FE;1970;06;21;
FE;1970;06;22;
FE;1970;06;23;
FE;1970;06;24;
FE;1970;06;25;
FE;1970;06;26;
FE;1970;06;27;
FE;1970;06;28;
FE;1970;06;29;
FE;1970;06;30;
FE;1970;06;31;
FE;1970;06;MM;
FE;1970;07;01;
FE;1970;07;02;
FE;1970;07;03;
FE;1970;07;04;
FE;1970;07;05;
FE;1970;07;06;
FE;1970;07;07;
FE;1970;07;08;
FE;1970;07;09;
FE;1970;07;10;
FE;1970;07;11;
FE;1970;07;12;
FE;1970;07;13;
FE;1970;07;14;
FE;1970;07;15;
FE;1970;07;16;
FE;1970;07;17;
FE;1970;07;18;
FE;1970;07;19;
FE;1970;07;20;
FE;1970;07;21;
FE;1970;07;22;
FE;1970;07;23;
FE;1970;07;24;
FE;1970;07;25;
FE;1970;07;26;
FE;1970;07;27;
FE;1970;07;28;
FE;1970;07;29;
FE;1970;07;30;
FE;1970;07;31;
FE;1970;07;MM;
FE;1970;08;01;
FE;1970;08;02;
FE;1970;08;03;
FE;1970;08;04;
FE;1970;08;05;
FE;1970;08;06;
FE;1970;08;07;
FE;1970;08;08;
FE;1970;08;09;
FE;1970;08;10;
FE;1970;08;11;
FE;1970;08;12;
FE;1970;08;13;
FE;1970;08;14;
FE;1970;08;15;
FE;1970;08;16;
FE;1970;08;17;
FE;1970;08;18;
FE;1970;08;19;
FE;1970;08;20;
FE;1970;08;21;
FE;1970;08;22;
FE;1970;08;23;
FE;1970;08;24;
FE;1970;08;25;
FE;1970;08;26;
FE;1970;08;27;
FE;1970;08;28;
FE;1970;08;29;
FE;1970;08;30;
FE;1970;08;31;
FE;1970;08;MM;
FE;1970;09;01;
FE;1970;09;02;
FE;1970;09;03;
FE;1970;09;04;
FE;1970;09;05;
FE;1970;09;06;
FE;1970;09;07;
FE;1970;09;08;
FE;1970;09;09;
FE;1970;09;10;
FE;1970;09;11;
FE;1970;09;12;
FE;1970;09;13;
FE;1970;09;14;
FE;1970;09;15;
FE;1970;09;16;
FE;1970;09;17;
FE;1970;09;18;
FE;1970;09;19;
FE;1970;09;20;
FE;1970;09;21;
FE;1970;09;22;
FE;1970;09;23;
FE;1970;09;24;
FE;1970;09;25;
FE;1970;09;26;
FE;1970;09;27;
FE;1970;09;28;
FE;1970;09;29;
FE;1970;09;30;
FE;1970;09;31;
FE;1970;09;MM;
FE;1970;10;01;
FE;1970;10;02;
FE;1970;10;03;
FE;1970;10;04;
FE;1970;10;05;
FE;1970;10;06;
FE;1970;10;07;
FE;1970;10;08;
FE;1970;10;09;
FE;1970;10;10;
FE;1970;10;11;
FE;1970;10;12;
FE;1970;10;13;
FE;1970;10;14;
FE;1970;10;15;
FE;1970;10;16;
FE;1970;10;17;
FE;1970;10;18;
FE;1970;10;19;
FE;1970;10;20;
FE;1970;10;21;
FE;1970;10;22;
FE;1970;10;23;
FE;1970;10;24;
FE;1970;10;25;
FE;1970;10;26;
FE;1970;10;27;
FE;1970;10;28;
FE;1970;10;29;
FE;1970;10;30;
FE;1970;10;31;
FE;1970;10;MM;
FE;1970;11;01;
FE;1970;11;02;
FE;1970;11;03;
FE;1970;11;04;
FE;1970;11;05;
FE;1970;11;06;
FE;1970;11;07;
FE;1970;11;08;
FE;1970;11;09;
FE;1970;11;10;
FE;1970;11;11;
FE;1970;11;12;
FE;1970;11;13;
FE;1970;11;14;
FE;1970;11;15;
FE;1970;11;16;
FE;1970;11;17;
FE;1970;11;18;
FE;1970;11;19;
FE;1970;11;20;
FE;1970;11;21;
FE;1970;11;22;
FE;1970;11;23;
FE;1970;11;24;
FE;1970;11;25;
FE;1970;11;26;
FE;1970;11;27;
FE;1970;11;28;
FE;1970;11;29;
FE;1970;11;30;
FE;1970;11;31;
FE;1970;11;MM;
FE;1970;12;01;
FE;1970;12;02;
FE;1970;12;03;
FE;1970;12;04;
FE;1970;12;05;
FE;1970;12;06;
FE;1970;12;07;
FE;1970;12;08;
FE;1970;12;09;
FE;1970;12;10;
FE;1970;12;11;
FE;1970;12;12;
FE;1970;12;13;
FE;1970;12;14;
FE;1970;12;15;
FE;1970;12;16;
FE;1970;12;17;
FE;1970;12;18;
FE;1970;12;19;
FE;1970;12;20;
FE;1970;12;21;
FE;1970;12;22;
FE;1970;12;23;
